Period,Service Channel Type,State,sa4_code,sa3_code,sa2_code,Suburb,Lat,Lon,ra_code
30/06/2024,Bank@Post,SA,Adelaide - West,Charles Sturt,Woodville - Cheltenham,Kilkenny,-34.87423617,138.5501698,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Port Adelaide - West,Largs Bay - Semaphore,Semaphore,-34.83905,138.482867,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Port Adelaide - West,Largs Bay - Semaphore,Largs Bay,-34.821251,138.494665,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Port Adelaide - West,North Haven,North Haven (SA),-34.79316269,138.4978153,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Port Adelaide - West,Port Adelaide,Alberton (SA),-34.858785,138.5195,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Port Adelaide - West,Port Adelaide,Ottoway,-34.85177,138.528261,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Port Adelaide - West,Port Adelaide,Port Adelaide,-34.848714,138.505457,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Port Adelaide - West,The Parks,Ferryden Park,-34.86402844,138.5576786,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,Port Adelaide - West,The Parks,Mansfield Park,-34.85128377,138.5470817,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,West Torrens,Adelaide Airport,Adelaide Airport,-34.93538,138.522899,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,West Torrens,Adelaide Airport,Adelaide Airport,-34.93520107,138.5415793,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,West Torrens,Lockleys,Brooklyn Park,-34.927985,138.536602,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,West Torrens,Plympton,Novar Gardens,-34.96634323,138.5365573,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,West Torrens,Plympton,Plympton,-34.96279,138.554337,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,West Torrens,Richmond (SA),Hilton (SA),-34.93164475,138.5618751,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,West Torrens,Richmond (SA),Mile End,-34.924616,138.562222,Major Cities of Australia
30/06/2024,Bank@Post,SA,Adelaide - West,West Torrens,West Beach,West Beach (SA),-34.9369,138.505435,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,Belconnen,Belconnen,Belconnen,-35.23875,149.06595,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,Belconnen,Bruce,Bruce (ACT),-35.238672,149.084684,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,Belconnen,Charnwood,Charnwood,-35.20465293,149.0340686,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,Belconnen,Hawker,Hawker (ACT),-35.24352087,149.0440502,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,Belconnen,Holt,Holt,-35.2222849,149.0189782,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,Belconnen,Kaleen,Kaleen,-35.22007008,149.1036377,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,Belconnen,Macquarie,Macquarie,-35.25285,149.072283,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,Gungahlin,Gungahlin,Gungahlin,-35.18590238,149.1360883,Major Cities of Australia
30/06/2024,Bank@Post,ACT,Australian Capital Territory,Gungahlin,Hall,Hall,-35.170681,149.070452,Major Cities of Australia
